TIMESTAMP,RECORDED PITCH,NOTE INDEX,EXPECTED PITCH
0.000000,nan,0,nan
0.550000,392.236786,1,391.995436
0.760000,491.573151,2,493.883301
0.990000,538.486877,3,523.251131
1.195000,526.789429,4,523.251131
1.815000,527.396240,5,523.251131
2.080000,nan,6,nan
2.725000,419.561401,7,415.304698
2.980000,457.605469,8,466.163762
3.340000,489.770294,9,493.883301
3.595000,574.576294,10,587.329536
3.875000,625.140015,11,622.253967
4.075000,435.753326,12,440.000000
4.335000,411.824402,13,415.304698
4.740000,347.372925,14,349.228231
5.105000,389.431183,15,391.995436
5.390000,350.089539,16,349.228231
6.105000,nan,17,nan
